,Unnamed: 0,year,month,day,name,clusters,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,days_completed
10,10,2019,09,19,antena3_2019 09 19_morning_new,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20437037944793698,0.0,0.0,0.1397193968296051,0.0,0.0,0.085165835916996,0.0,0.15018415451049805,0.0,0.0,0.0,0.0,0.0,0.1019730418920517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059329599142074585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22365568578243256,0.0,0.0,0.0,0.0,0.0,2019 09 19
11,11,2019,09,19,antena3_2019 09 19_afternoon_new,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056902464479207986,0.0,0.0,0.08779338002204895,0.0,0.0,0.08761931955814363,0.0,0.2345262169837952,0.014737012796103953,0.0,0.0,0.0,0.0,0.23932555317878726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12427645921707152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13308152556419373,0.0,0.0,0.0,0.0,0.0,2019 09 19
12,12,2019,09,20,antena3_2019 09 20_morning_new,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1399238407611847,0.012905522249639034,0.011726425960659979,0.02813906967639923,0.0,0.0,0.10549169033765793,0.0,0.030404731631278988,0.0,0.0,0.0,0.0,0.0,0.19186614453792566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10182972252368927,0.0,0.0,0.0,0.0,0.0,0.0,0.011856628581881523,0.3170548677444458,0.0,0.029715828597545624,0.0,0.0,0.0,2019 09 20
13,13,2019,09,22,antena3_2019 09 22_morning_new,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016476064920425415,0.0,0.06922248005867004,0.0,0.0,0.0,0.0,0.0,0.03630167245864868,0.0,0.08292270451784134,0.0,0.0,0.0,0.0,0.0,0.1254337877035141,0.0,0.0,0.0,0.016777362674474716,0.0,0.02099041454494,0.0,0.0,0.3039606213569641,0.0,0.0,0.0,0.0,0.0,0.0,0.030680838972330093,0.2587772309780121,0.0,0.028376534581184387,0.0,0.0,0.0,2019 09 22
14,14,2019,09,22,antena3_2019 09 22_afternoon_new,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029083877801895138,0.0,0.016167499125003815,0.0,0.0,0.0,0.0,0.0,0.02305633574724197,0.0,0.1331501603126526,0.0,0.0,0.0,0.0,0.0,0.11604218184947968,0.0,0.0,0.0,0.01967035047709942,0.0,0.0,0.0,0.0,0.2307550013065338,0.0,0.0,0.0,0.0,0.0,0.0,0.060650013387203223,0.3446027934551239,0.0,0.02448236383497715,0.0,0.0,0.0,2019 09 22
15,15,2019,09,23,antena3_2019 09 23_morning_new,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32303228974342346,0.029428329318761826,0.0,0.0,0.0,0.034358639270067215,0.024113163352012638,0.0,0.02463299222290516,0.0,0.010841571725904942,0.0,0.0,0.0,0.05728370323777199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046418271958827965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264224469661713,0.0,0.0,0.0,0.0,0.0,2019 09 23
16,16,2019,09,24,antena3_2019 09 24_morning_new,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04626492783427239,0.020561037585139275,0.0,0.04025793820619583,0.0,0.0,0.1455940008163452,0.0,0.022362150251865387,0.0,0.04217483103275299,0.0,0.0,0.0,0.20566152036190036,0.0,0.0,0.0,0.0,0.0,0.018577424809336662,0.0,0.0,0.11528466641902925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32674071192741394,0.0,0.0,0.0,0.0,0.0,2019 09 24
17,17,2019,09,24,antena3_2019 09 24_afternoon_new,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02812766097486019,0.10549227148294447,0.0,0.06346354633569717,0.0,0.0,0.2353163212537765,0.0,0.16557715833187106,0.0,0.04694386571645737,0.0,0.0,0.0,0.1281464695930481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11283716559410095,0.0,0.0,0.0,0.0,0.0,0.0,0.01088140532374382,0.0989534929394722,0.0,0.0,0.0,0.0,0.0,2019 09 24
18,18,2019,09,26,antena3_2019 09 26_morning_new,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079534150660038,0.0,0.0,0.0,0.0,0.0,0.16338542103767395,0.0,0.0354040153324604,0.0,0.0,0.0,0.0,0.0,0.12930724024772644,0.0,0.0,0.0,0.04928762093186378,0.0,0.010988409630954266,0.0,0.0,0.055358897894620895,0.0,0.0,0.0,0.0,0.0,0.0,0.012979347258806229,0.440540224313736,0.0,0.010575681924819945,0.0,0.0,0.0,2019 09 26
19,19,2019,09,28,antena3_2019 09 28_morning_new,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031620047986507416,0.06711601465940475,0.0,0.0,0.0,0.0,0.10456270724534987,0.0,0.09013672918081284,0.0,0.0,0.0,0.0,0.0,0.029374366626143456,0.0,0.0,0.0,0.03249240294098854,0.0,0.02169180102646351,0.0,0.0,0.3315562903881073,0.0,0.0,0.0,0.0,0.0,0.0,0.019063692539930344,0.2458478659391403,0.0,0.010521692223846912,0.0,0.0,0.0,2019 09 28
