,index,clusters,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,channel,day,year
2817,1_spa_2018 10 27_morning_new,1.0,0.0,0.29945582151412964,0.0,0.05055299773812294,0.09671127051115036,0.09317385405302048,0.0,0.0,0.0,0.0,0.025051822885870934,0.04228658601641655,0.0,0.0,0.0,0.011679870076477528,0.05469168722629547,0.0,0.0,0.0,0.14266793429851532,0.0,0.0,0.171855628490448,0.0,0.0,0.0,1_spa,2018 10 27,2018
2818,1_spa_2018 11 18_morning_new,1.0,0.0,0.3480442762374878,0.0,0.02830890566110611,0.011161958798766136,0.13972420990467072,0.0,0.0,0.0,0.04368700459599495,0.038394831120967865,0.04644514620304108,0.0,0.0,0.0,0.03227599710226059,0.09479638189077377,0.0,0.0,0.0,0.1006862223148346,0.0,0.0,0.11040917038917542,0.0,0.0,0.0,1_spa,2018 11 18,2018
2819,1_spa_2018 11 19_morning_new,2.0,0.0,0.2706858515739441,0.0,0.017247548326849937,0.02072647213935852,0.2353227734565735,0.0,0.0,0.0,0.0,0.052470721304416656,0.015642166137695312,0.0,0.0,0.0,0.026974856853485107,0.07561471313238144,0.0,0.0,0.0,0.04145514592528343,0.0,0.0,0.2304314374923706,0.0,0.0,0.0,1_spa,2018 11 19,2018
2820,1_spa_2018 11 19_afternoon_new,21.0,0.0,0.29744836688041687,0.0,0.013489062897861004,0.0,0.33718132972717285,0.0,0.0,0.0,0.028716985136270523,0.021694503724575043,0.027557218447327614,0.0,0.0,0.0,0.010667200200259686,0.05510064959526062,0.0,0.0,0.0,0.02971496991813183,0.0,0.0,0.15640580654144287,0.0,0.0,0.0,1_spa,2018 11 19,2018
2821,1_spa_2018 11 20_afternoon_new,2.0,0.0,0.20691277086734772,0.0,0.015739580616354942,0.018607575446367264,0.1625117063522339,0.0,0.0,0.0,0.029280707240104675,0.06703442335128784,0.031183097511529922,0.0,0.0,0.0,0.04050018638372421,0.014174172654747963,0.0,0.0,0.0,0.02580372244119644,0.0,0.0,0.3813864588737488,0.0,0.0,0.0,1_spa,2018 11 20,2018
2822,1_spa_2018 11 21_afternoon_new,2.0,0.0,0.22515514492988586,0.0,0.02316426672041416,0.03732890635728836,0.17895644903182983,0.0,0.0,0.0,0.027985360473394394,0.05845529958605766,0.01796739362180233,0.0,0.0,0.0,0.018820853903889656,0.019067199900746346,0.0,0.0,0.0,0.03981495648622513,0.0,0.0,0.34498873353004456,0.0,0.0,0.0,1_spa,2018 11 21,2018
2823,1_spa_2018 11 22_morning_new,2.0,0.0,0.18202953040599823,0.0,0.0,0.027902847155928612,0.25429877638816833,0.0,0.0,0.0,0.04168716073036194,0.07489039748907089,0.02872270904481411,0.0,0.0,0.0,0.012669936753809452,0.0,0.0,0.0,0.0,0.04856663942337036,0.0,0.0,0.31196853518486023,0.0,0.0,0.0,1_spa,2018 11 22,2018
2824,1_spa_2018 11 22_afternoon_new,2.0,0.0,0.19184404611587524,0.0,0.0,0.026318494230508804,0.2928465008735657,0.0,0.0,0.0,0.03612018749117851,0.06615916639566422,0.030488023534417152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05165649205446243,0.0,0.0,0.2682030498981476,0.0,0.0,0.0,1_spa,2018 11 22,2018
2825,1_spa_2018 11 23_morning_new,21.0,0.0,0.2615909278392792,0.0,0.02199684828519821,0.0,0.3491894602775574,0.0,0.0,0.0,0.04196194186806679,0.029048191383481026,0.01895766519010067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030356695875525475,0.0,0.019086990505456924,0.20565639436244965,0.0,0.0,0.0,1_spa,2018 11 23,2018
2826,1_spa_2018 11 23_afternoon_new,2.0,0.0,0.20504818856716156,0.0,0.02780286967754364,0.017895514145493507,0.3057003617286682,0.0,0.0,0.0,0.04072805494070053,0.037608955055475235,0.02821539156138897,0.0,0.0,0.0,0.012581276707351208,0.0,0.0,0.0,0.0,0.04545917734503746,0.0,0.014485138468444347,0.25203725695610046,0.0,0.0,0.0,1_spa,2018 11 23,2018
2827,1_spa_2018 11 25_morning_new,2.0,0.0,0.19043409824371338,0.0,0.026876743882894516,0.024365292862057686,0.10813046246767044,0.0,0.0,0.0,0.04775404557585716,0.08928409963846207,0.03157014399766922,0.0,0.0,0.0,0.0518743135035038,0.015675261616706848,0.0,0.0,0.0,0.13046710193157196,0.0,0.0,0.2830196022987366,0.0,0.0,0.0,1_spa,2018 11 25,2018
2828,1_spa_2018 11 25_afternoon_new,2.0,0.0,0.24383805692195892,0.0,0.02271190658211708,0.02088610641658306,0.12442751228809357,0.0,0.0,0.0,0.05872269719839096,0.07170417159795761,0.019941378384828568,0.0,0.0,0.0,0.029314285144209862,0.01781848818063736,0.0,0.0,0.0,0.1454204022884369,0.0,0.0,0.24430596828460693,0.0,0.0,0.0,1_spa,2018 11 25,2018
2829,1_spa_2018 11 26_morning_new,2.0,0.0,0.269369512796402,0.0,0.02581169083714485,0.016414621844887733,0.19841115176677704,0.0,0.0,0.0,0.0,0.0203799270093441,0.025945015251636505,0.0,0.0,0.0,0.03711792081594467,0.017925705760717392,0.0,0.0,0.0,0.04077359288930893,0.0,0.0,0.33437198400497437,0.0,0.0,0.0,1_spa,2018 11 26,2018
2830,1_spa_2018 11 26_afternoon_new,2.0,0.0,0.2543371319770813,0.0,0.018089203163981438,0.025529464706778526,0.16933228075504303,0.0,0.0,0.0,0.024255618453025818,0.028482062742114067,0.0185623150318861,0.0,0.0,0.0,0.03585771471261978,0.015436014160513878,0.010679872706532478,0.0,0.0,0.08220674097537994,0.0,0.0,0.3159317374229431,0.0,0.0,0.0,1_spa,2018 11 26,2018
2831,1_spa_2018 11 27_morning_new,2.0,0.0,0.21428024768829346,0.0,0.030653590336441994,0.0177800040692091,0.29881104826927185,0.0,0.0,0.0,0.013345403596758842,0.03628513589501381,0.02654838003218174,0.0,0.0,0.0,0.030306227505207062,0.0,0.0,0.0,0.0,0.033070605248212814,0.0,0.0,0.29148033261299133,0.0,0.0,0.0,1_spa,2018 11 27,2018
2832,1_spa_2018 11 27_afternoon_new,16.0,0.0,0.10987913608551025,0.0,0.0188867449760437,0.012979869730770588,0.30669546127319336,0.0,0.0,0.0,0.011235629208385944,0.046818360686302185,0.04015028476715088,0.0,0.0,0.0,0.037470731884241104,0.0,0.0,0.0,0.0,0.03811018541455269,0.0,0.0,0.35656675696372986,0.0,0.0,0.0,1_spa,2018 11 27,2018
2833,1_spa_2018 11 28_afternoon_new,2.0,0.0,0.20439739525318146,0.0,0.03406402841210365,0.012810717336833477,0.3041952848434448,0.0,0.0,0.0,0.024501798674464226,0.02979157865047455,0.02134319581091404,0.0,0.0,0.0,0.025936849415302277,0.0,0.0,0.0,0.0,0.04802713170647621,0.0,0.0,0.2860133945941925,0.0,0.0,0.0,1_spa,2018 11 28,2018
2834,1_spa_2018 11 29_afternoon_new,2.0,0.0,0.20380842685699463,0.0,0.025698641315102577,0.04797765985131264,0.26499143242836,0.0,0.0,0.0,0.022586293518543243,0.06321634352207184,0.015391203574836254,0.0,0.0,0.0,0.028187353163957596,0.0,0.0,0.0,0.0,0.03388851508498192,0.0,0.0,0.2804189622402191,0.0,0.0,0.0,1_spa,2018 11 29,2018
2835,1_spa_2018 11 30_morning_new,21.0,0.0,0.28161248564720154,0.0,0.027281001210212708,0.01603579893708229,0.3544396460056305,0.0,0.0,0.0,0.01725257746875286,0.029510026797652245,0.022944863885641098,0.0,0.0,0.0,0.013592187315225601,0.0,0.0,0.0,0.0,0.023295041173696518,0.0,0.0,0.20035472512245178,0.0,0.0,0.0,1_spa,2018 11 30,2018
2836,1_spa_2018 11 30_afternoon_new,21.0,0.0,0.2626934051513672,0.0,0.020214686170220375,0.011402499862015247,0.33056214451789856,0.0,0.0,0.0,0.021894177421927452,0.024786459282040596,0.04188922047615051,0.0,0.0,0.0,0.01974407769739628,0.010664745233952999,0.0,0.0,0.0,0.047135695815086365,0.0,0.0,0.2006913125514984,0.0,0.0,0.0,1_spa,2018 11 30,2018
2837,1_spa_2018 12 01_afternoon_new,21.0,0.0,0.17222000658512115,0.0,0.020688695833086967,0.11294282227754593,0.30264610052108765,0.0,0.0,0.0,0.0805746540427208,0.018684491515159607,0.10844302922487259,0.0,0.0,0.0,0.03853178024291992,0.0,0.0,0.0,0.0,0.04171273857355118,0.0,0.0,0.09301669150590897,0.0,0.0,0.0,1_spa,2018 12 01,2018
