,name,year,month,day,clusters,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,days_completed
11,antena3_2019 09 19_afternoon_new,2019,09,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017578400671482086,0.35629549622535706,0.0,0.0,0.0,0.0,0.0,0.12523964047431946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011966809630393982,0.0,0.09359733760356903,0.0,0.0,0.0,0.07127512246370317,0.0,0.0,0.0,0.3163611888885498,0.0,0.0,0.0,2019 09 19
12,antena3_2019 09 20_morning_new,2019,09,20,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333647042512894,0.0,0.0,0.0,0.0,0.0,0.18579049408435824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17080634832382202,0.0,0.026071658357977867,0.0,0.0,0.0,0.1929154098033905,0.0,0.0,0.01640674471855164,0.306375116109848,0.0,0.0,0.0,2019 09 20
13,antena3_2019 09 22_morning_new,2019,09,22,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15426114201545715,0.0,0.0,0.0,0.0,0.0,0.4092561900615692,0.039612971246242516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13446849584579468,0.0,0.01762567274272442,0.0,0.0,0.0,0.07573944330215454,0.0,0.0,0.029590632766485214,0.13915807008743286,0.0,0.0,0.0,2019 09 22
14,antena3_2019 09 22_afternoon_new,2019,09,22,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18477900326251984,0.0,0.0,0.0,0.0,0.0,0.3550285398960113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18532685935497284,0.0,0.06973319500684738,0.0,0.0,0.0,0.019136525690555573,0.0,0.0,0.013945108279585838,0.16706475615501404,0.0,0.0,0.0,2019 09 22
15,antena3_2019 09 23_morning_new,2019,09,23,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0874127522110939,0.0,0.0,0.0,0.0,0.0,0.10364382714033127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4020445048809052,0.0,0.01693696528673172,0.0,0.0,0.0,0.27852320671081543,0.0,0.0,0.0,0.10061858594417572,0.0,0.0,0.0,2019 09 23
16,antena3_2019 09 24_morning_new,2019,09,24,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345991849899292,0.12950938940048218,0.0,0.0,0.0,0.0,0.0,0.1970939040184021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12206105887889862,0.0,0.04428960755467415,0.0,0.0,0.0,0.06142861023545265,0.0,0.0,0.0,0.3872045576572418,0.01029190793633461,0.012249249033629894,0.0,2019 09 24
17,antena3_2019 09 24_afternoon_new,2019,09,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036732252687215805,0.3495128154754639,0.0,0.0,0.0,0.0,0.0,0.06313928961753845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05359264835715294,0.0,0.16405725479125974,0.0,0.0,0.0,0.05155215784907341,0.0,0.0,0.0,0.2038236111402512,0.0,0.07712052762508392,0.0,2019 09 24
18,antena3_2019 09 26_morning_new,2019,09,26,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0939611718058586,0.0,0.0,0.0,0.0,0.0,0.2086404412984848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28680381178855896,0.0,0.020121080800890926,0.0,0.0,0.0,0.0904434323310852,0.0,0.0,0.0,0.2913886904716492,0.0,0.0,0.0,2019 09 26
19,antena3_2019 09 28_morning_new,2019,09,28,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10985834151506424,0.0,0.0,0.0,0.0,0.0,0.35934343934059143,0.014467315748333931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387995332479477,0.0,0.10058635473251344,0.0,0.0,0.0,0.05056200921535492,0.0,0.0,0.019681245088577267,0.15250426530838013,0.011153229512274264,0.04047437012195587,0.0,2019 09 28
20,antena3_2019 09 28_afternoon_new,2019,09,28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14294737577438354,0.0,0.0,0.0,0.0,0.0,0.32785263657569885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04834325984120369,0.0,0.13691027462482452,0.0,0.0,0.0,0.0575813315808773,0.0,0.0,0.0,0.2674369215965271,0.0,0.01843580044806004,0.0,2019 09 28
